标识,中文,英文,原始翻译,比较
qiYongZhong,启用中,Enabling,In active,0
kaRiRuKuanXian,卡日入款限额,Daily deposit limit of the card,card daily deposit limit,0
waiBuZiGuanZhong,外部资管中转卡,External fund management transfer card,external asset management transfer card,0
chongZhiBeiYongKa,充值备用卡,Back-up top-up card,top-up backup card,0
neiBuCunFangKa,内部存放卡,Internal deposit card,internal storage card,0
kaLeiXing,卡类型,Card type,type of card,0
tianJiaChengGong,添加成功,Added,added successfully,0
caoZuoChengGong,操作成功,Operation is successful.,operated successfully,0
shuaXinChengGong,刷新成功,Refreshed,refresh successfully,0
di,第,No.,no.,1
tiaoJiLu,条记录,entries,records,0
gong,共,Total,total,1
bianJiShangHuXin,编辑商户信息,Edit merchant information,edit merchant information,1
qingShuRuRiRu,请输入日入款限额,Enter the daily deposit limit.,please enter the daily deposit limit,0
qingShuRuUDun,请输入U盾密码,Enter the USBKey password.,please enter the USB key password,0
uDunMiMa,U盾密码,USBKey password,USB key password,0
qingShuRuZhiFu,请输入支付密码,Enter the payment password.,please enter the payment password,0
zhiFuMiMa,支付密码,Payment password,payment password,1
qingShuRuDengLu,请输入登录密码,Enter the login password.,please enter the login password,0
shangHuHouTaiDeng,商户后台登录密码,Merchant backend login password,merchant backend login password,1
qingShuRuDengLu2,请输入登录账号,Enter the login account.,please enter the login account,0
shangHuHouTaiDeng2,商户后台登录账号,Merchant backend login account,merchant backend login account,1
yiGuanBi,已关闭,Disabled,closed,0
yiKaiQi,已开启,Enabled,opened,0
daEChongZhi,大额充值,Large amount top-up,huge amount deposit,0
puTongChongZhi,普通充值,Ordinary top-up,normal deposit,0
daiJieSuanZongE,待结算总额,Total amount to be settled,total pending to settle,0
keYongZiJinZong,可用资金总额,Total available funds,total funds available,0
qingShuRuShangHu,请输入商户名称,Enter a merchant name.,please enter the marchant name,0
zhongQi,重启,Restart,restart,1
chongZhiZiJinYu,充值资金预警设置,Top-up fund warning settings,deposit alert setting,0
queRenShanChuMa,确认删除吗，亲 ？,Delete it?,"Dear,are you confirm to delete?",0
sanFangZhangHuJin,三方账户金额,Third-party account balance,the amount of third party account,0
qingShuRuYuJing,请输入预警金额,Enter the warning amount.,please enter the alert amount,0
xiaoYu,小于,Less than,less than,1
daYu,大于,More than,bigger than ,0
sanFangZhangHuJin2,三方账户金额：,Third-party account balance:,the amount of third party account:,0
chuangJianRen,创建人：,Created by:,creator,0
ruKuZhongZhuanKa,入库中转卡,Inbound transfer card,check In Transit Card,0
tiXianKa,提现卡,Withdrawal card,withdrawal card,1
waiBuZiJinZhong,外部资金中转卡,External fund transfer card,external funds transfer card,0
yinHangKaZhangHu,银行卡账户金额：,Bank card account balance:,bank card account amount:,0
tiXianZiJinYu,提现资金预警设置,Withdrawal fund warning settings,withdrawal funds alert settings,0
queRenYaoShanChu,确认要删除吗，亲 ？,Delete it?,"Dear,are you confirm to delete?",0
zhuanZhangShiBaiShou,转账失败：收款卡号错误,Transfer failed: Incorrect receiving card No.,Transfer failed: wrong beneficiary card number,0
zhuanZhangShiBaiTi,转账失败提示,Transfer failure message,transfer failed notification,0
qingShuRuDanRi,请输入单日限额,Enter a daily limit.,please enter the daily limit,0
danRiXianE,单日限额：,Daily limit:,daily limit:,1
qingShuRuDanBi,请输入单笔限额,Enter a single transaction limit.,please enter the single transaction limit,0
danBiXianE,单笔限额：,Single transaction limit:,single transaction limit,0
qingShuRuShouKuan,请输入收款银行卡号：,Enter the receiving card No.:,please enter the beneficiary bank card number:,0
shouKuanYinHangKa,收款银行卡号：,Receiving card No.:,beneficiary bank card number:,0
zhongShi,重试,Try again,retry,0
zheShiBeiZhuZhe,这是备注这是备注,Here are remarks.,this is remark,0
beiZhu,备注：,Remarks:,remarks,0
shouKuanRenHaoHao,收款人好好：,Receiving account:,the payee is fine:,0
zhuanZhangJinE,转账金额：,Transfer amount:,transfer amount:,1
dingDanHao,订单号：,Order No.:,order,0
zhuanZhangChengGong,转账成功！,Transferred.,transfer successfully,0
zhuanZhangChengGongTi,转账成功提示,Successful transfer message,successful transfer notification,0
queRenZhuanZhang,确认转账,Transfer,confirm transfer,0
zhuanRuZiGuanKa,转入资管卡,Transfer to fund management card,transfer to Asset Management Card,0
zhuanRuYinHangKa,转入银行卡,Transfer to bank card,transfer to bank card,1
qingXuanZeZhuanZhang,请选择转账类型,Select a transfer type.,please select a transfer type,0
qingShuRuZhuanZhang,请输入转账金额,Enter the transfer amount.,please enter the transfer amount,0
zhangSan,张三,Zhang San,zhang san,1
zhuanZhangCaoZuoT,转账操作{val1},Transfer {val1},operating transfer{val1},0
yinHangKa,,,-bank card,0
ziGuanKa,,,-asset management card,0
danBiXianE2,单笔限额0～100000.00,Single transaction limit 0-100000.00,single transaction limit 0～100000.00,0
keZhuanZhangJinE,可转账金额：50000.00,Transferable amount: 50000.00,transferable amount: 50000.00,1
qingShuRuShouKuan2,请输入收款卡号,Enter the receiving card No.,please enter the beneficiary card number,0
shouKuanKaHao,收款卡号：,Receiving card No.:,beneficiary card number,0
mingCheng,名称2222,Name 2222,name 2222,1
mingCheng2,名称111,Name 111,name 111,1
qingShuRuHuoXuan,请输入或选择账户名称,Enter or select a account name.,please enter or select an account name,0
zhangHuMingCheng,账户名称：,Account name:,account name:,1
waiBuCunFangKa,外部存放卡,External deposit card,external storage card,0
qingXuanZeZiGuan,请选择资管卡类型,Select a fund management card type.,please select the asset management card type,0
ziGuanKaLeiXing,资管卡类型：,Fund management card type:,asset management card type,0
qingXuanZeShouKuan,请选择收款人姓名,Select a payee name.,please select payee name,0
shouKuanRenXingMing,收款人姓名：,Payee name:,payee name,0
qingXuanZeQingShu,请选择请输入收款卡号,Select the receiving card No.,please select please enter the beneficiary card number,0
sanFangShangHu,三方商户,Third-party merchant,third party merchant,0
jinYong,禁用,Disable,disabled,0
qingXuanZeShangHu,请选择商户,Select a merchant.,please select a merchant,0
qingShuRuZhangHu,请输入账户名称,Enter an account name.,please enter account name,0
zhangHuMingCheng2,账户名称,Account name,account name,1
chuKuanZhangHuKe,出款账户可用余额,Available payout account balance,The available balance of the withdrawal account,0
shenHeZhuangTai,审核状态,Review status,approval Status,0
shenQingShiJian,申请时间,Request time,application time,0
shenQingBeiZhu,申请备注,Request remarks,application remarks,0
shenQingRen,申请人,Applicant,applicant,1
tiaoZhengJinE,调整金额,Adjustment amount,adjustment amount,1
ziJinTiaoZhengDan,资金调整单号,Fund adjustment order No.,funds adjustment order number,0
shenHeShiJian,审核时间,Review time,audit time,0
shenHeRen,审核人,Reviewer,approver,0
shenHe,审核,Review,audit,0
erShenZhuangTai,二审状态,Final review status,status of second trial,0
yiShenZhuangTai,一审状态,First review status,status of first trial,0
xuQiuLiuShuiJin,需求流水金额,Required turnover amount,the amount of turnover requirement,0
tiaoZhengZiLeiXing,调整子类型,Adjust subtype,adjustment subtype,0
tiaoZhengLeiXing,调整类型,Adjust type,adjustment type,0
zhangHuXinXi,账户信息,Account info,account information,0
sanFangShangHuDing,三方商户订单号,Third-party merchant order No.,third party merchant order number,0
biZhong,币种,Currency,currency,1
guanLianDanHao,关联单号,Associated order No.,associated order number,0
zhiXing,执行,Run,execute,0
qingXuanZe,请选择,Select,please select,0
piLiangCaoZuo,批量操作,Batch operation,batch operate,0
shuJuGengXinShi,数据更新时间：{val1},Data update time: {val1},data updated time：{val1},0
xinZeng,新增,Add,create,0
daoChu,导出,Export,export,1
zhongZhi,重置,Reset,reset,1
chaXun,查询,Query,check,0
zhangHuLeiXing,账户类型,Account type,type of account,0
qingShuRuZhangHu,请输入账户名,Enter an account name.,please key in account name ,0
zhangHuMing,账户名,Account name,account name ,0
qingShuRuDanHao,请输入单号,Enter the order No.,please enter the order number,0
quanBu,全部,All,all,1
quanBuLieBiao,全部列表,Full list,all listing,0
daiShenHeLieBiao,待审核列表,Pending review list,pending audit list,0
qingShuRuTiaoZheng,请输入调整原因,Enter the reason for adjustment.,please enter the reason for adjustment,0
tiaoZhengYuanYin,调整原因,Reason for adjustment,reason of adjustment,0
qingShuRuSanFang,请输入三方商户订单号,Enter the third-party merchant order No.,please enter the third party merchant order number,0
qingShuRuGuanLian,请输入关联订单号,Enter the associated order No.,please enter the associated order number,0
guanLianDingDanHao,关联订单号,Associated order No.,associated order number,0
ge,个, ,a,0
yuan,元,CNY,RMB,0
qingShuRuXuQiu,请输入需求流水金额,Enter the required turnover amount.,please enter the amount of turnover requirement,0
qingShuRuTiXian,请输入提现额度，不可大于调整金额,"Enter the withdrawable limit, which should not exceed the adjustment amount.","please enter the withdrawal amount, which cannot be greater than the adjustment amount",0
keTiXianEDu,可提现额度,Withdrawable limit,amount can be withdrawn,0
qingShuRu,请输入,Enter,please fill in ,0
biZhongXuanZe,币种选择,Currency selection,currency selection,1
qingShuRuZhangHu,"请输入账户名，多个账户名请用"",","Enter account names. Separate account names with "","".","please enter the account name, please use multiple account names"",",0
qingShuRuYongHu,请输入用户名,Enter the username.,please enter user name,0
ziJinTiaoZhengShen,资金调整申请,Fund adjustment request,fund adjustment request,1
queDing,确定,OK,confirm,0
quXiao,取消,Cancel,cancel,1
gongXiNiCaoZuo,恭喜你，操作成功！,Congratulations. The operation is successful.,"congratulations, create successful",0
zhangHaoSUC,账号 {val1} 资金调整申请成功,Fund adjustment for account {val1} requested,account {val1} fund adjustment application successfully,0
zhangHaoFAI,账号 {val1} 不支持{val2},Account {val1} does not support {val2}.,account {val1} does not support {val2},0
zhangHaoNOT,账号 {val1} 不存在,Account {val1} does not exist.,account {val1} does not exist,0
buKeChaoGuoWei,不可超过200位字符,Limit to 200 characters.,Cannot exceed 200 characters,0
qingShuRuBeiZhu,请输入备注,Enter remarks.,please enter a remarks,0
beiZhu,备注,Remark,remarks,0
huiZong,汇总,Summary,summary,1
piLiangErShen,批量二审,Batch final review,batch second trial,0
piLiangYiShen,批量一审,Batch first review,batch first trial,0
qingXuanZeCaoZuo,请选择操作数据,Select data for operation.,please select operate data,0
jinBanNianJiaBi,近半年加币记录,Top-ups in the past 6 months,the record of adding coins in the past half year,0
qingXuanZeShenHe,请选择审核结果,Select the review result.,please select an audit result,0
shenHeJieGuo,审核结果,Review results,audit result,0
erShenBeiZhu,二审备注,Final review remarks,second trial remarks,0
yiShenBeiZhu,一审备注,First review remarks,first trial remarks,0
shenQingYuanYou,申请原由,Reason for request,reason for application,0
erCiShenHe,二次审核,Final review,second audit,0
yiCiShenHe,一次审核,First review,first audit,0
chaXunCanShu,查询参数,Search parameters,search parametric,0
suoYinXuanZe,索引选择,Index selection,index selection,1
pinMingWeiNinCha,拼命为您查询中...,Searching...,desperately inquiring for you...,0
chaXunJieGuo,查询结果,Search results,search result,0
shuJuLiang,数据量,Data volume,the amount of data,0
wenJianMing,文件名,File name,file name,1
wenJianMuLu,文件目录,File directory,file list,0
buLuRen,补录人,Imputed by,additional record person,0
quDao,渠道,Channel,channel,1
renWuZhiXingJie,任务执行结束时间,Task end time,task execution end time,0
renWuZhiXingKai,任务执行开始时间,Task start time,task execution begin time,0
shuJuBuLuJie,数据补录结束时间,Data imputation end time,data additional recording end time,0
shuJuBuLuKai,数据补录开始时间,Data imputation start time,data additional recording begin time,0
youXiYuEHui,游戏余额回收,Game balance recovery,game balance retrieve,0
renWuZhuangTai,任务状态,Task status,mission status,0
youXiPingTai,游戏平台,Game platform,game platform,1
shuJuBuLuShi,数据补录时间,Data imputation duration,data additional recording time,0
renWuZhiXingShi,任务执行时间,Task duration,task execution time,0
ninQueDingYaoShan,您确定要删除选中项吗,Delete the selected item?,are you sure you want to delete the selected item,0
tiShi,提示,Note,prompt,0
shuJuShangChuan,数据上传,Upload data,data upload,0
buLuShuJu,补录数据,Impute data,additional recording data,0
baoHanGeShiDuo,包含格式，多个文件以英文逗号分隔,Format included. Separate files with commas.,"include formats, multiple files are separated by commas",0
wenJianMingCheng,文件名称,File name,file name,1
wenJianLuJing,文件路径,File path,file path,1
buLuShiJian,补录时间,Imputation time,additional recording time,0
ziYouXiLeiBie,子游戏类别,Subgame category,sub game type,0
zhiNengShiYongYing,只能使用英文逗号分隔,Separated with commas only,only use commas to separate,0
duoGeYongHuMing,多个用户名以英文逗号分隔,Separate names with commas.,multiple usernames are separated by commas,0
tongBuYouXiYong,同步游戏用户名,Sync game username,sync game username,1
zuiDiHuiShouJin,最低回收金额,Min. recovery amount,minimum retrieve amount,0
huiShouMoShi,回收模式,Recovery mode,retrieve mode,0
youXiQuDaoI,游戏渠道ID,Game channel ID,game channel ID,1
tianJiaChengGongD,"添加成功, {val1}",Added. {val1},"added successfully, {val1}",0
shangChuanShiBaiQing,上传失败，请选择子类型,Upload failed. Select a subtype.,"upload failed, please select a subtype",0
shangChuanShiBaiQing2,上传失败，请选择游戏平台类型,Upload failed. Select a game platform type.,"upload failed, please select the game platform type",0
zhiZhiChiShangChuan,只支持上传.json/.txt/.xml后缀的文件,Only files with .json/.txt/.xml extension can be uploaded.,only supports uploading files with .json/.txt/.xml suffix,0
xuanQuWenJian,选取文件,Select file,select file,1
wenJian,文件,File,file,1
ziFuJi,字符集,Character set,character set,1
ziLeiXing,子类型,Subtype,subtype,1
shangChuanZhong,上传中...,Uploading...,uploading,0
shangChuanShiBai,上传失败,Upload failed,upload failed,1
shangChuanChengGong,上传成功,Uploaded,uploaded successfully,0
eSShuJu,ES数据,ES data,ES data,1
shuJuBuLu,数据补录,Data imputation,additional recording data,0
yiChangZhuanZhangChu,异常转账处理,Abnormal transfer handling,abnormal transfer processing,0
zhuanZhangJiLu,转账记录,Transfer records,transfer record,0
chuLiYiChangZhuan,处理异常转账,Handle abnormal transfers,dealing with abnormal transfer,0
chuLiShiJian,处理时间,Handling time,processing time,0
chuLiRen,处理人,Processed by,person to handle,0
zhuanZhangHouZhongXin,转账后中心钱包余额,Main wallet balance after transfer,main wallet balance after transfered,0
zhuanZhi,转至,Transfer to,transfer to ,0
laiZi,来自,From,come from,0
zhuanZhangShiJianZhuan,转账时间/转账单号,Transfer time/transfer order No.,transfer time/transfer order number,0
piLiangYiChangZhuan,批量异常转账处理,Batch abnormal transfer handling,batch abnormal transfer processing,0
qingXuanZeZhuanZi,请选择转自,Select transfer from.,please select transfer to,0
qingXuanZeLaiZi,请选择来自,Select from.,please select come from,0
qingXuanZeZhuangTai,请选择状态,Select a status.,please select data,0
qingXuanZeChuLi,请选择处理人,Select a handler.,please select person to handle,0
zhuanZhangYiChangChu,转账异常处理,Abnormal transfer handling,transfer abnormal handling,0
zhuanZhangDanHao,转账单号,Transfer order No.,transfer order number,0
zhuanZhangShiJian,转账时间,Transfer time,transfer time,1
youXiPingTaiZhuan,游戏平台转账失败：核实第三方平台未收到此笔转账，点击按钮，则将转账金额退回中心钱包,Game platform transfer failed: Confirm that the third-party platform has not received the transfer. Click the button and the amount will be returned to the main wallet.,"game platform transfer failed: verify that the third-party platform has not received the transfer, click the button, and the transfer amount will be returned to the main wallet",0
youXiPingTaiZhuan2,游戏平台转账成功：核实第三方平台已收到此笔转账，点击按钮，则转账状态变更为成功,"Game platform transfered: Confirm that the third-party platform has received the transfer. Click the button and the transfer status is changed to ""Successful"".","game platform transfer succesfully: verify that the third-party platform has received the transfer, click the button, and the transfer status will be changed to successful",0
queDingXuYaoDui,确定需要对此笔异常转账进行处理？,Handle the abnormal transfer?,Are you sure you need to proceed this abnormal transfer?,0
youXiPingTaiZhuan3,游戏平台转账失败,Game platform transfer failed,game platform transfer failed,1
ruGuoRenGongCha,如果人工查询确认失败，请点击：,"If the transfer is manually confirmed failed, click:","If the manual search failed, please click:",0
youXiPingTaiZhuan4,游戏平台转账成功,Game platform transfered,game platform successful transfer,0
ruGuoRenGongCha2,如果人工查询确认成功，请点击：,"If the transfer is manually confirmed successful, click:","If the manual search succesfully, please click:",0
zhongZhiChengGong,重置成功,Reset,reset succesful,0
niQueDingYaoZhong,你确定要重置异常吗？,Reset the error?,are you sure you want to reset the abnormal?,0
caiWuZhangBianRi,财务账变日志,Financial account change log,financial account change log,1
qianBaoZhangBianRi,钱包账变日志,Wallet account change log,wallet account change log,1
youXiZhangBianRi,游戏账变日志,Game account change log,game account change log,1
jieGuo,结果,Result,result,1
yiChang,异常,Error,unusual,0
yiChuLi,已处理,Processed,processed,1
jinE,金额,Amount,amount,1
huiGun,回滚,Rollback,rollback,1
zhuanRu,转入,Transfer in,transfer to,0
jiaBi,加币,Top-up,adding coins,0
zhangBianLeiXing,账变类型,Account change type,account change type,1
yongHuID,用户ID,User ID,user ID,1
guanLianZhuDanHao,关联注单号,Associated betslip No.,associated bet slip number,0
zhongShiCiShu,重试次数,Number of retries,times of retries,0
quXiaoPaiJiang,取消派奖,Cancel payout bonus,prize distribution had been cancelled,0
paiJiang,派奖,Pay out bonus,prize distribution,0
quXiaoTouZhu,取消投注,Cancel betting,cancel bet,0
touZhu,投注,Bet,bet,1
faQiQuDao,发起渠道,Initiating channel,initiate channel,0
jieShouQuDao,接收渠道,Receiving channel,receiving channel,1
niQueDingYaoShan,你确定要删除吗？,Delete it?,are you sure you want to delete?,0
niQueDingYaoZhong,你确定要重置次数吗？,Reset the number?,are you sure you want to reset the count ?,0
weiHuRiZhi,维护日志,Maintenance log,maintenance log,1
daiWeiHu,待维护,Pending maintenance,maintenance pending,0
weiHuZhong,维护中,Under maintenance,maintenance in  progress,0
yiGuoQi,已过期,Expired,expired,1
weiHuZhuangTai,维护状态,Maintenance status,maintenance status,1
wu,无,N/A,none,0
dangQianWeiHuNei,当前维护内容,Current maintenance item,current maintenance content,0
dangQianWeiHuShi,当前维护时间：,Current maintenance time:,current maintenance time:,1
weiHuXiangQing,维护详情,Maintenance details,maintenance details,1
youXiZhuanZhangWei,游戏转账维护,Game transfer maintenance,game transfer maintenance,1
youXiPingTaiWei,游戏平台维护,Game platform maintenance,game platform maintenance,1
chanPinDuanWeiHu,产品端维护,Product side maintenance,product maintenance,0
weiHuJieShuShi,维护结束时间,Maintenance end time,maintenance end time,1
weiHuKaiShiShi,维护开始时间,Maintenance start time,maintenance begin time,0
weiHuRenWuR,维护任务{val1},Maintenance task{val1},maintenance task {val1},0
chanPinDuan,产品端,Product side,product,0
weiHuShiJian,维护时间,Maintenance time,maintenance time,1
caoZuoShiBai,操作失败,Operation failed,operate failed,0
qingQueRenShiFou,请确认是否删除此维护任务？,Delete the maintenance task?,are you sure you want to delete this maintenance task?,0
shanChuWeiHuRen,删除（维护任务{val1}）,Delete (maintenance task{val1}),delete (maintenance task {val1}),0
shangXianPeiZhi,上线配置,Online configuration,online configuration,1
youXiPeiZhi,游戏配置,Game configuration,game configuration,1
pingTaiFei,平台费,Platform fee,platform fees,0
pingTaiLeiXing,平台类型,Platform type,platform type,1
youXiXianShu,游戏线数,Game lines,number of game lines,0
tEXTShi,{val1}失败,{val1}Failed,{val1}failure,0
tEXTCheng,{val1}成功,{val1} successful,{val1}successful,0
queDingYaoTE,确定要{val1}此电子游戏吗？,{val1} the e-game?,are you sure you want to {val1}this game?,0
tEXTDian,{val1}电子游戏（{val2}）,{val1} e-game ({val2}),{val1} game ({val2},0
youXiPingTaiShe,游戏平台设置,Game platform settings,game platform settings,1
chanPinDuanWeiBi,产品端为必选项,Product side is required.,product is required,0
qingShuRuWeiHu,请输入维护内容,Enter the maintenance item.,please enter maintenance content,0
weiHuNeiRong,维护内容,Maintenance item,maintenance content,0
qianBaoBiZhong,钱包币种,Wallet currency,wallet currency,1
youXiPingTaiZhuan,游戏平台转账维护,Game platform transfer maintenance,game platform transfer maintenance,1
qingXuanZeChanPin,请选择产品端,Select the product side.,please select product ,0
iSEMP,{val1}维护设置,{val1}Maintenance settings,{val1} maintenance settings,0
daiLiZhiNengXuan,代理只能选择产品端维护，请将代理端和会员端分开进行维护,Agents can only select product side maintenance. Maintain the agent side and member side separately.,"affiliate can only choose product maintenance, please maintain the afilliate side and the member side separately",0
qingXuanZeWeiHu,请选择维护项,Select a maintenance item.,please select a maintenance item,0
buKeChaoGuoGe,不可超过150个字符,Limit to 150 characters.,up to 150 characters,0
qingXuanZeShiFou,请选择是否下架,Select whether to delist.,please choose whether to remove,0
shiFouXiaJia,是否下架,Delist,whether to remove,0
qingXuanZeShiFou2,请选择是否为中心钱包,Select whether it is the main wallet.,please select whether it is a main wallet,0
shiFouWeiZhongXin,是否为中心钱包,Main wallet,whether it is a main wallet,0
zhuTongYiPingTai,（注：同一平台下的游戏钱包名请保持一致）,(Note: Keep wallet names consistent at the same platform.),(Note: Please keep the same game wallet name under the same platform),0
qingShuRuQianBao,请输入钱包名,Enter the wallet name.,please enter wallet name,0
qianBaoMing,钱包名,Wallet name,wallet name,1
qingXuanZeSuoShu,请选择所属分类,Select a category.,please select the category,0
jiaoBiao,角标,Marker,subscript,0
qingShuRuPingTai,请输入平台介绍,Enter the platform description.,please enter the platform introduction,0
pingTaiJieShao,平台介绍,Platform description,platform introduction,0
cURRE,{val1}游戏入口配置,{val1}Game portal configuration,{val1} game entry configuration,0
tiaoZhuanLianJie,跳转链接:,Link:,redirect link:,0
paiXu,排序:,Sort:,sort:,1
meiYouTiJiaoShu,没有提交数据/需要上传图片,No data submitted / need to upload images,no data submitted / image upload required,0
gaiShuJuYouWu,该数据有误,The data is wrong.,the data is wrong,0
ruKouICO,入口 icon,Portal icon,entry icon,0
sYSTE,{val1}体育个人中心,{val1}Sports personal center,{val1} sportsbook personal center,0
youXiTuBiao,游戏图标,Game icon,game icon,1
youXiPingTaiShang,游戏平台商 logo,Game platform merchant logo,game platform merchant logo,1
shouYeRuKouI,首页入口 icon,Home portal icon,main page entry icon,0
sYSTE2,{val1}娱乐h5首页,{val1}Entertainment H5 home,{val1}entertainment h5 main page,0
youXiRuKouI,游戏入口icon（夜间模式）,Game portal icon (night mode),game entry icon (night mode),0
youXiRuKouI2,游戏入口icon（日间模式）,Game portal icon (day mode),game entry icon (day mode),0
sYSTE3,{val1}娱乐App首页,{val1}Entertainment App home,{val1}entertainment App main page,0
zhuanZhangQianBaoRu,转账钱包入口,Transfer wallet portal,transfer wallet entry,0
luoDiYe,落地页,Landing page,landing page,1
daoHangLanXiaLa,导航栏下拉弹窗,Drop-down navigation bar,navigation bar pop up,0
pCGuanWang,PC官网,PC official website,PC official site,0
qingShuRuYouXi,请输入游戏线数,Enter the number of game lines.,please enter the number of game lines,0
qingXuanZeYouXi,请选择游戏类别,Select a game category.,please select a game category,0
youXiLeiBie,游戏类别,Game category,game category,1
qingShuRuYouXi2,请输入游戏名称,Enter the game name.,please enter the game name,0
chongZhiDaoZhangJin,充值到账金额总计：,Total top-up amount received:,total recharge amount:,0
xuNiBiZhiFu,虚拟币支付,Cryptocurrency payment,virtual currency pay,0
kuaiJieQianBao,快捷钱包,Quick wallet,quick wallet,1
qQZhiFu,QQ支付,QQ payment,QQ pay,0
jingDongZhiFu,京东支付,JD Pay,JD pay,1
yunShanFu,云闪付,UnionPay,UnionPay,1
yinLianSaoMa,银联扫码,Scan code with UnionPay,UnionPay scan code,0
yinLianZhiFu,银联支付,UnionPay payment,China Union Pay,0
wangYinZhiFu,网银支付,E-bank payment,online banking ,0
kuaiJieZhiFu,快捷支付,Express payment,quick pay,0
jiSuWeiXinZhi,极速微信支付,Express WeChat payment,quick wechat pay,0
weiXinZhiFu,微信支付,WeChat Pay,wechat pay,1
jiSuZhiFuBao,极速支付宝支付,Express Alipay payment,quick alipay,0
zhiFuBaoZhiFu,支付宝支付,Alipay,Alipay,1
zhiFuBaoZhuanYin,支付宝转银行卡,Transfer from Alipay to bank card,Alipay transfer to bank card,0
weiXinZhuanYinHang,微信转银行卡,Transfer from WeChat to bank card,wechat transfer to bank card,0
yinHangKaZhuanZhang,银行卡转账,Bank card transfer,bank card transfer,1
xuanZeRiQi,选择日期,Select date,select date,1
qiTa,其他,Others,other,0
biXuan,必选,Required,required,1
kaiFangShiJian,开放时间,Opening hours,opening hours,1
meiRiXunHuanShang,每日循环上架,Daily recurring listing,Daily cycle uploaded,0
dingShiKaiFang,定时开放,Fixed times,open regularly,0
yongJiuKaiFang,永久开放,Permanent,open permanently,0
kaiFangFangShi,开放方式,Opening method,open mode,0
qingXuanZeShangXian,请选择上限,Select an upper limit.,please select an upper limit,0
qingXuanZeXiaXian,请选择下限,Select a lower limit.,please select a lower limit,0
vIPXianZhi,VIP限制,VIP restrictions,VIP restrictions,1
suoShuFenLei,所属分类,Category,category,1
shuRuZongShuWei,输入总数，0为不限,Enter the total number. 0 means unlimited.,"enter the total number, 0 is unlimited",0
pingTaiXianGou,平台限购,Platform limit,platform purchase limit,0
geRenXianGouCi,个人限购次数,Personal purchase limit,the count amount of personal purchase limit,0
geRenXianGou,个人限购,Personal limit,personal purchase limit,0
jinBiJiaGe,金币价格,Coin price,gold coin price,0
jiangLiLeiXing,奖励类型,Reward type,reward type,1
bianJiShangPinCheng,编辑商品成功~,Product edited.,edit the product item successfully~,0
xinJianShangPinCheng,新建商品成功~,Product created.,create the product item successfully~,0
bianJiShangPin,编辑商品,Edit Product,edit product item,0
xinZengShangPin,新增商品,New Product,add product item,0
yiXuanSEL,已选 {val1} 样商品，批量分类,{val1} selected for batch classification,"selected {val1} items, batch sorting",0
zuiHouXiuGai,最后修改,Last modified,last amended,0
shangPinZhuangTai,商品状态,Product status,product item status,0
shangJiaShiJian,上架时间,Listing time,added time,0
buXianGou,不限购,Unlimited purchase,unlimited purchases,0
zongShuXianGou,总数限购,Total purchases limit,total purchase limit,0
iNDIV,{val1}{val2}次,{val1}{val2},{val1}{val2}times,0
jiangPinJiaZhi,奖品价值,Prize value,prize value,1
jiangPinMingCheng,奖品名称,Prize name,prize name,1
piLiangFenLei,批量分类,Batch classification,batch classification,1
shangChuanTuPian,上传图片,Upload image,upload image,1
aWARD,【{val1}】商品的图文详情,【{val1}】Product graphics,【{val1}】the image details of the product,0
tuPianShangChuanCheng,图片上传成功,Image uploaded.,image upload successfully,0
qingXuanZeYaoShang,请选择要上传的图片,Select the image to upload.,please select an image to upload,0
ziDingYiWenAn,自定义文案,Custom text,customization copywriting,0
vALUE,{val1}成功,{val1} successful,{val1} successfully,0
queDingShanChuGai,确定删除该奖品吗？,Delete the prize?,are you sure you want to delete this prize?,0
zhiDi,置底,Bottom,set at the end,0
xiaYi,下移,Move down,move down,1
shangYi,上移,Move up,move up,1
jiaGe,价格,Price,price,1
iNDIV,{val1}{val2}次,{val1}{val2},{val1}{val2}times,0
shangPinMingCheng,商品名称,Product name,product name,1
paiXuChengGong,排序成功,Sorted,sorted successfully,0
bianJiFenLeiMing,编辑分类名称,Edit category name,edit category name,1
fenLeiPaiXu,分类排序,Sort by category,sort by category,1
dianJiPaiXu,点击排序,Click to sort,click to sort,1
shangPinPaiXu,商品排序,Sort by product,product item sorting,0
qingShangChuanTuPian,请上传图片,Upload an image.,please upload an image,0
tuPian,图片,Image,image,1
fenLeiMingCheng,分类名称,Category name,category name,1
tianJiaFenLei,添加分类,Add category,add category,1
tYPEN,{val1}类商品排序,Sort by product of category {val1},{val1}categorize product item sorting,0
queDingShanChuGai,确定删除该分类吗？,Delete the category?,are you sure you want to delete this category?,0
zhengZaiJiaZai,正在加载,Loading,loading,1
zhongShen,终身,Lifetime,lifetime,1
meiYue,每月,Monthly,every month,0
meiZhou,每周,Weekly,every week,0
meiRi,每日,Daily,everyday,0
fenLeiGuanLi,分类管理,Category management,category management,1
shangPinGuanLi,商品管理,Product management,product item management,0
tiaoZhengLiYou,调整理由,Reason for adjustment,reason for adjustment,1
tiaoZhengNeiRong,调整内容,Adjustment details,content adjustment,0
shuJuGengXinShi,数据更新时间：{val1},Data update time: {val1},data update time: {val1},1
shenQingRiQi,申请日期,Request time,date of apply,0
jinBiTiaoZhengEr,金币调整 - 二次审核,Coin adjustment - Final review,gold coins adjustment - second review,0
